Date,SPY_bh,AAPL_bh,MSFT_bh,GOOGL_bh,AMZN_bh,META_bh,NVDA_bh,TSLA_bh,JPM_bh,BAC_bh,WMT_bh,PG_bh,JNJ_bh,XOM_bh,CVX_bh,HD_bh,MCD_bh,KO_bh,PEP_bh,DIS_bh,NFLX_bh,ADBE_bh,CRM_bh,INTC_bh,VZ_bh,UNH_bh,portfolio_comm_0.0,portfolio_comm_0.0001,portfolio_comm_0.0005
2022-12-05,224138.1014486007,595979.3252717167,613063.4758690143,375715.27077671926,589977.9868519554,156061.16615494736,3435405.0214404054,1247891.024658009,261145.16155225824,224319.98410135604,209099.5055541655,207785.2784833329,212063.22087319687,166405.67601922466,221697.63548398492,371173.80846475286,358542.5900186559,194720.21370427604,244324.0412688664,109789.54043159026,627079.1772300046,461833.0290996976,226080.38407600185,100829.9524873106,113989.50968739936,599553.0335177265,7910.737623536726,7502.3772615034195,6961.496527509218
2022-12-06,220907.17534025197,580859.3593243588,600615.996549235,366273.231401797,572086.1017204407,145468.4390049414,3306549.8550201957,1229902.860768406,261582.40532382214,214753.70269264275,206672.75081740998,208050.09004919973,208884.27426238288,161780.24583925164,215984.421042887,368124.0019636059,358780.1791350676,194628.15036734805,242336.0176735616,105623.65912851677,612976.4454821756,457768.88396527735,224966.2502803742,98859.67084005178,113436.01283623496,604349.1361808896,8102.595879876752,7684.131295545778,7130.3193548483905
2022-12-07,220531.36736431517,572852.2264973737,598778.2546046651,358568.5979704392,573447.4338179004,145226.2552820107,3334059.0076483437,1190369.685864759,261403.48490870104,213061.71611418246,205597.31422076494,209387.9971254084,210153.45916388006,161422.0701534636,216624.81840994046,371255.04108551884,356892.4069303274,194934.9459538371,243069.86465241844,105463.42261230477,618713.8075242565,451589.7279699903,220256.61840386884,97926.38025316536,114297.01452655914,608372.0908094713,8067.528396928449,7651.295386656007,7099.489872769838
2022-12-08,222258.97187727565,579802.5227432181,606202.6674598223,353923.1315749388,585699.4721530617,147010.81752654348,3551020.6779619763,1186265.968668076,264146.7938795435,211109.39467053345,205915.6352722619,210893.2124142787,210189.06458484553,162621.22707614864,217905.5909972302,375823.9789438229,360918.8746508108,195763.3083147678,245204.5568088588,105921.21697171842,622404.9868744059,459745.6502746118,219665.8148880285,98306.60620628907,114081.76039793958,613986.0088653723,7805.286823594709,7401.50945983716,6868.209183530336
2022-12-09,220598.63609509144,577811.0202933784,601351.1010176468,350599.54255228845,577531.4301102797,147737.39812704452,3516273.315085838,1224636.314116586,262715.5459698267,210718.9466713979,201113.0598060582,210335.7278564799,208457.2698360637,161250.7524853545,210949.27570495257,371637.69050274644,359136.66117669456,193707.77658734462,244297.34300734717,106871.12485069154,641964.2313092889,457063.90846919786,221320.07521366086,97615.27883270748,115004.24526711088,604214.7313679451,7842.496055925031,7436.916915281496,6901.202427701479
2022-12-12,223779.08374786566,587281.2372796328,618723.7456681584,352412.3855072565,586996.0142397068,146220.51727602078,3626718.736708434,1147827.2644605357,266790.66781319503,212996.58488656877,204863.76884933515,212495.97760844458,210948.18579253487,165222.0327444778,213146.63861698442,380334.9267051853,365183.01892504754,196254.15269832994,245458.11008392193,108336.0614384465,632274.8902980036,467473.086186218,224696.1739137726,99170.76542326606,116695.4959402201,611677.5851508128,7774.718048417707,7371.803389890871,6840.4487884802875
2022-12-13,225473.0718337662,591264.4944678254,629529.4775757472,361174.56153508945,599572.1510030119,153154.86337408252,3737785.6777361836,1100838.9146064078,266532.2290455003,213126.76589382495,204130.25646625203,212175.3966383572,212573.2845670047,167028.6250835928,217893.01160504296,386028.68650396704,362093.8795063156,196315.53258276987,245324.64169328855,108381.83819320347,642626.2552249124,473403.38511422154,228933.17869952478,99309.03500032853,116418.74380859942,603116.3903209496,7576.746544206281,7184.525290830812,6666.71046145392
2022-12-14,224031.4939640665,582078.6697078996,630264.620497079,359059.5344824178,593673.0452473529,154990.43077034163,3655468.753619707,1072454.479295743,265200.3502236876,210068.15023241178,202995.32538633066,213011.63511307794,213225.64965608995,165798.28065524204,216386.25289472743,386654.84009579406,362423.86803344346,196315.53258276987,244644.21415443285,107752.3765348105,637591.0165703989,469892.2181859294,227464.56803503263,97684.41703986052,115158.02362896032,603273.2020381496,7714.874143922468,7315.737758024416,6788.012816266542
2022-12-15,218551.31675849747,554805.7137987074,610147.6678640585,343159.3020375842,573382.5943490622,148056.0846722799,3506138.0415800484,1078404.9266314178,258620.52392916288,206749.2132804718,201182.2528632648,210600.5626983919,210533.04983987086,164209.773891919,214766.45682926453,379894.24845347635,358727.34512141714,193615.76516827193,240494.8001411685,103563.58897979594,582584.4128799274,454395.91940220306,220189.0927614188,93847.54738158526,116142.02873736378,591305.7184103839,7910.313574159284,7501.622416837892,6960.380438642031
2022-12-16,215971.04969087327,546717.4071426505,599562.4249987815,340893.25561140897,569557.9064740121,152237.08458123778,3427337.1302307653,1027518.0402222155,257010.37209164674,206293.70192703186,197569.91344022768,209666.7510423304,208374.23061667243,163057.29142120635,211853.35307795912,374954.2437023171,351321.29299280426,192511.31663226784,240614.8391916729,103094.35490033367,583186.2110619253,467984.5530592038,216526.01663169416,93052.53320900489,114143.26581301774,586845.7193110536,7901.999849641462,7494.759860380373,6954.501536206728
